Date,State,S,E,A,I1,R,D,I2,I3,I1_increase
2020-12-22,Florida,7785569.680792197,663.5910115082384,0,1904.1930428059998,13616318.870193707,73123.59736996365,54.45086362758173,102.61672616418019,59.04699173300254
2020-12-23,Florida,7785346.86913901,623.5223773254629,0,1789.1618006716976,13616701.077143628,73128.22325417926,51.16381735420736,96.98246780554436,55.546171415642725
2020-12-24,Florida,7785137.77033093,585.921570486698,0,1681.2279226520016,13617059.756342834,73132.57916199953,48.07886958146327,91.66580148864377,52.12722199716843
2020-12-25,Florida,7784941.029434406,550.5483832073674,0,1579.6858905997442,13617397.231760284,73136.69047381268,45.1762100108124,86.6378476516996,49.04532331378747
2020-12-26,Florida,7784757.162907469,517.4959331488716,0,1484.803147566161,13617712.617370147,73140.54741460367,42.463426936177356,81.90980010223305,45.83462229172488
2020-12-27,Florida,7784582.762293715,486.15218107089214,0,1394.8122767353905,13618011.760332013,73144.21433408688,39.89049998163755,77.4080823707269,43.47344537182897
2020-12-28,Florida,7784419.592059179,456.8339617265673,0,1310.6282224171641,13618291.633731524,73147.65792142412,37.483323084957746,73.17078061602352,40.67249302611542
2020-12-29,Florida,7784266.786818477,429.38575244461276,0,1231.8022707405053,13618553.722355407,73150.89462721918,35.229173160217194,69.1790025244187,38.087256869835365
2020-12-30,Florida,7784123.466343893,403.64935291598874,0,1157.8780136244584,13618799.536474312,73153.94119311449,33.115107072010446,65.413515041211,35.72143884366456
2020-12-31,Florida,7783988.821487723,379.4793860540297,0,1088.435890603224,13619030.4643162,73156.81296696686,31.12923550316036,61.85671692226445,33.5573103320674
2021-01-01,Florida,7783862.043102268,356.7304747720703,0,1023.0563412110024,13619247.894109027,73159.52529663318,29.259669136489787,58.49100692344307,31.59487133465033
2021-01-02,Florida,7783742.553688061,335.2989424049815,0,961.439816705685,13619452.816768711,73162.0892290235,27.497909281175595,55.30364578557766,29.77636373144943
2021-01-03,Florida,7783630.282059753,315.17225700218586,0,903.5490782666343,13619645.354805244,73164.50641045783,25.84286814680761,52.292521102073,27.975545454880983
2021-01-04,Florida,7783524.778732718,296.26978663632013,0,849.1508987523235,13619826.279569572,73166.78551103112,24.287920790892095,49.44758047313566,26.286739932849073
2021-01-05,Florida,7783425.572080158,278.5069134319443,0,798.0005796623857,13619996.400389835,73168.93561194575,22.826118176835134,46.758306764590266,24.715467993407795
2021-01-06,Florida,7783332.207625886,261.7961060735747,0,749.8684021911362,13620156.497178527,73170.96551874968,21.450696175075297,44.21447237163069,23.25872134499659
2021-01-07,Florida,7783244.4996229345,246.00782923463032,0,704.7556674828583,13620306.88893478,73172.87969491287,20.15782749005641,41.81042313667795,21.868593326919793
2021-01-08,Florida,7783162.11909856,231.13737476721505,0,662.4367722364121,13620448.140145626,73174.68427459973,18.943231054291314,39.53910312743147,20.548971530605975
2021-01-09,Florida,7783084.624206675,217.1912042587724,0,622.5956930421529,13620581.008921443,73176.38732408942,17.801309516729397,37.39134094430652,19.321345760873808
2021-01-10,Florida,7783011.868586182,204.14912171494996,0,585.150443850832,13620705.746420952,73177.99171501938,16.729951422377304,35.36376082902445,18.128913231765882
2021-01-11,Florida,7782943.426588475,191.8665322508355,0,549.9491669713614,13620823.08342786,73179.50621094175,15.722174160754735,33.44589931205304,17.056972210770002
2021-01-12,Florida,7782879.095825221,180.32510272193826,0,516.8687722505116,13620933.36723586,73180.93473219083,14.775167276988375,31.633164449138278,16.03166927457838
2021-01-13,Florida,7782818.625079861,169.48253893585775,0,485.7762052927415,13621037.028997812,73182.28225527162,13.885243786745463,29.919679009807766,15.068384676841635
2021-01-14,Florida,7782761.769411337,159.2922533115141,0,456.5471550642342,13621134.489112768,73183.55367635193,13.04875425478159,28.299636884465215,14.166699599883204
2021-01-15,Florida,7782708.328197201,149.7168185748732,0,429.07907803662573,13621226.091911118,73184.75301425521,12.26271658768392,26.768264198690577,13.315314036274106
2021-01-16,Florida,7782658.113457672,140.72161011944945,0,403.27545269719513,13621312.160021765,73185.8840394511,11.524340914247103,25.321077354200323,12.510964413402585
2021-01-17,Florida,7782610.909706242,132.26758191118944,0,379.0250005726472,13621393.063277127,73186.95108510417,10.830435289098588,23.952913728234606,11.760397097126512
2021-01-18,Florida,7782566.623661834,124.3378838420524,0,356.2795306212592,13621468.961765174,73187.9560525763,10.179618168343621,22.66148775841483,11.033100318030591
2021-01-19,Florida,7782525.038483175,116.89325926613137,0,334.92705133965234,13621540.227638619,73188.90331931772,9.568677674877012,21.44157058224126,10.359916607748538
2021-01-20,Florida,7782485.943262216,109.89551586958487,0,314.8586393173958,13621607.222868674,73189.7971382079,8.9944897768589,20.28808591359276,9.739367393157753
2021-01-21,Florida,7782449.128942097,103.30679587434145,0,295.96632923115396,13621670.306249006,73190.64172572138,8.453957854337947,19.19600019088566,9.170990835417722
2021-01-22,Florida,7782414.497728315,97.10934813521907,0,278.199739750787,13621729.645592937,73191.4391102809,7.945632826516843,18.162847729180104,8.627028881300417
2021-01-23,Florida,7782381.956729598,91.28630758734892,0,261.51102721832547,13621785.400297461,73192.19122388384,7.468138218092065,17.186276007433612,8.106258261168149
2021-01-24,Florida,7782351.366569682,85.81240869093362,0,245.82828960193964,13621837.809550438,73192.90091268728,7.01940921815298,16.262859655485478,7.620276183051847
2021-01-25,Florida,7782322.587872299,80.66238590617584,0,231.07962486979997,13621887.112539733,73193.57102284835,6.597381015788948,15.389173303174989,7.169082646557937
2021-01-26,Florida,7782295.5185933085,75.81781398790093,0,217.2123791876271,13621933.484359946,73194.20367458189,6.2005423323064495,14.562636629940844,6.743344093098588
2021-01-27,Florida,7782270.086132054,71.26566256499375,0,204.18907958795901,13621977.049555957,73194.80041555918,5.827818454505697,13.78133579764892,6.335699235065074
2021-01-28,Florida,7782246.18532568,66.98693495616247,0,191.9554642479899,13622017.988576699,73195.36342664006,5.47765186178133,13.042619890553267,5.954289082601538
2021-01-29,Florida,7782223.710925891,62.96261882525852,0,180.45722729304327,13622056.482017795,73195.89489034582,5.148483766701334,12.343836058907845,5.599134996141532
2021-01-30,Florida,7782202.566643242,59.18242513508891,0,169.63753019476718,13622092.695068832,73196.39677571408,4.83895962661158,11.682597230683488,5.266500766927787
2021-01-31,Florida,7782182.688257206,55.6563256971892,0,159.4415280339991,13622126.737816794,73196.87034062663,4.548346375608916,11.057385242688342,4.945329203311552
2021-02-01,Florida,7782164.001298643,52.338022807036054,0,149.8639648602593,13622158.738159461,73197.31731194472,4.275214202713289,10.466028057891013,4.649675473718679
2021-02-02,Florida,7782146.434235411,49.20751129678561,0,140.87513073973983,13622188.818843175,73197.73923801881,4.018433471495665,9.906607863285172,4.373363427201394
2021-02-03,Florida,7782129.917437028,46.2632124853638,0,132.42804450299352,13622217.09928386,73198.13753350792,3.777084752007589,9.37740384055257,4.112097759340735
2021-02-04,Florida,7782114.385156518,43.49617391311705,0,124.48588935351158,13622243.69225897,73198.51357950743,3.550225025597423,8.876716686797147,3.8666159594430147
2021-02-05,Florida,7782099.782422565,40.894200370055806,0,117.02264795215204,13622268.69207435,73198.86856117407,3.3370185411250084,8.403075024331743,3.6353263353575866
2021-02-06,Florida,7782086.052655827,38.44741302059308,0,110.00884814758504,13622292.195782283,73199.20368667525,3.136632154486987,7.954981866697468,3.418079214885096
2021-02-07,Florida,7782073.134062188,36.14532494185936,0,103.412006795541,13622314.30937359,73199.52027932508,2.9481592006775243,7.530793934694648,3.216104958683283
2021-02-08,Florida,7782060.995307097,33.98253753368361,0,97.21573762999522,13622335.08659255,73199.81901243194,2.771139193042789,7.129673539319284,3.021892357024676
2021-02-09,Florida,7782049.577174357,31.948722243221756,0,91.3892068521547,13622354.629003065,73200.10116197783,2.6047007585867297,6.750030721943511,2.842374446269829
2021-02-10,Florida,7782038.848830537,30.038377489585194,0,85.91649046354142,13622372.989485973,73200.36739609935,2.448389069697551,6.391030340152845,2.670534063254212
2021-02-11,Florida,7782028.755349459,28.241643271056784,0,80.76928513082134,13622390.262240902,73200.6189069603,2.301393375738602,6.051180876815809,2.5123828934659507
2021-02-12,Florida,7782019.289482801,26.55722075238482,0,75.94386774133014,13622406.459691491,73200.85585899513,2.1636070452965006,5.7302711492641905,2.3560377238739014
2021-02-13,Florida,7782010.402273581,24.97632373892114,0,71.41502237971409,13622421.665792935,73201.07932166333,2.034307783747633,5.426957892590898,2.211893592758969
2021-02-14,Florida,7782002.047499877,23.490656119347406,0,67.15893792246862,13622435.959812574,73201.29030233309,1.9128135301519098,5.139977618156328,2.079269031723051
2021-02-15,Florida,7781994.1789397625,22.091921782345295,0,63.15180324608924,13622449.421017751,73201.48980837256,1.7984422235692397,4.868066837320877,1.958164042340442
2021-02-16,Florida,7781986.764815194,20.774419023127138,0,59.377262883981416,13622462.103896674,73201.67854060415,1.6907253695256008,4.6103402273906715,1.8449784621329735
2021-02-17,Florida,7781979.79573363,19.536467017235164,0,55.83051634517292,13622474.024534203,73201.85672475747,1.589525464543329,4.3664985573250235,1.7341326654748337
2021-02-18,Florida,7781973.243288372,18.372969619887773,0,52.49694838673514,13622485.231634859,73202.02499010414,1.4944238626624875,4.1357447720819,1.6303659651558076
2021-02-19,Florida,7781967.078520732,17.278731539224143,0,49.361658842541246,13622495.77485011,73202.18397763062,1.4049937563296968,3.9172673647403746,1.5338159435737295
2021-02-20,Florida,7781961.274413726,16.248906102127112,0,46.41075137201158,13622505.700499566,73202.33428774896,1.3208370744822762,3.710304383575131,1.4439986607485475
2021-02-21,Florida,7781955.817605946,15.28109839784373,0,43.637389328692514,13622515.03147055,73202.47623551969,1.2417578437578387,3.5144423881378737,1.3575106624122388
2021-02-22,Florida,7781950.688565834,14.37180570950801,0,41.03154620873512,13622523.801238043,73202.6102649368,1.1674687748201973,3.329110466388124,1.2758897675397394
2021-02-23,Florida,7781945.865721851,13.517159054917274,0,38.58214087049859,13622532.046777546,73202.73686262252,1.097652387241514,3.153685642675129,1.1996444137218096
2021-02-24,Florida,7781941.327579193,12.7133031744523,0,36.2781317868265,13622539.804932935,73202.85651354003,1.0319923341330755,2.98754701130584,1.128755485863711
2021-02-25,Florida,7781937.059701595,11.957644972590492,0,34.11212105787361,13622547.100441707,73202.96955005801,0.9702765283025689,2.8302640553946676,1.0614648340843198
2021-02-26,Florida,7781933.048416993,11.247728004055315,0,32.077105267023946,13622553.956730647,73203.07628802427,0.9123041704030631,2.6814268708095086,0.9975821099333286
2021-02-27,Florida,7781929.2767348,10.580502425870915,0,30.16436797154275,13622560.402918262,73203.17711502782,0.8578254441142059,2.54053604344042,0.9379338952422902
2021-02-28,Florida,7781925.7276644325,9.952918395061433,0,28.365192728695273,13622566.468123069,73203.27241865771,0.8065905331156451,2.4070921591774583,0.8825201900112049
2020-02-28,Georgia,10617398.901548417,13.144609954567361,0,10.953841628806135,0,0,0,0,0
2020-02-29,Georgia,10617389.416722758,16.60452316017882,0,14.40077978965023,2.538318700756327,5.122863340579998e-4,0.027183736461755034,0.011959570788110722,0.6043337661707414
2020-03-01,Georgia,10617377.031668037,21.305576421651818,0,18.7193722622117,5.855907743834001,0.0021762197222317987,0.05905056639252705,0.026248751963117788,0.7707500442878435
2020-03-02,Georgia,10617360.963970294,27.480496805030935,0,24.2467947737253,10.162701473566674,0.005226428728585194,0.09721835545215116,0.04359187338171018,0.9923031155672106
2020-03-03,Georgia,10617340.164158875,35.50783957043565,0,31.368913138050488,15.740288968901295,0.009971455731878751,0.1438575981289602,0.06497039997040238,1.2811529036398117
2020-03-04,Georgia,10617313.257466787,45.905026115498615,0,40.5696730201993,22.957572315224382,0.016820547124604086,0.2017767208897853,0.0916644985734715,1.655999441578954
2020-03-05,Georgia,10617278.460453462,59.35692757246984,0,52.46324701653096,32.29314905001076,0.026310538424799294,0.27458439839640414,0.12532796813966807,2.1410388850256963
2020-03-06,Georgia,10617233.453126011,76.7580631843761,0,67.84498041766885,44.36964492464673,0.03914777735927495,0.3669353908320362,0.16810229989366438,2.7690616266593935
2020-03-07,Georgia,10617175.269888312,99.25415378643031,0,87.72926538153254,59.98298816147145,0.056242209654438116,0.48474595959639827,0.2227161957076235,3.5796284460201258
2020-03-08,Georgia,10617100.025098607,128.34808358640407,0,113.44346896252029,80.17608339189819,0.07879295833512404,0.6357361580823593,0.2927363419423547,4.629199708005101
2020-03-09,Georgia,10617002.699022174,165.98058398585465,0,146.70313981259397,106.2962852375652,0.10835564414098124,0.8298508696690442,0.38276228167957,5.98761291362869
2020-03-10,Georgia,10616876.852522137,214.64002121103562,0,189.71000681888532,140.0720084952837,0.1469315386573837,1.079822821975191,0.49868698454887217,7.742311397358664
2020-03-11,Georgia,10616714.13161593,277.55436207159914,0,245.32082957868738,183.7457707999279,0.19712232358105825,1.4021498015024478,0.6481495012852028,10.011179078957655
2020-03-12,Georgia,10616503.69732375,358.9146614417639,0,317.2390930090285,240.22733417169738,0.26230731533516516,1.8182231009376728,0.8410572176961076,12.946872302230183
2020-03-13,Georgia,10616231.45837778,464.17017369805,0,410.2785792828494,313.29985954345966,0.3468839288375936,2.3558394085499583,1.0902863650280876,16.74940974415111
2020-03-14,Georgia,10615879.540793722,600.2323896394206,0,530.5455205296917,407.76244969893156,0.4564339550531646,3.0502460948230343,1.4121663662653727,21.651549052715136
2020-03-15,Georgia,10615424.3200632,776.2308605892679,0,686.1153156349106,529.959124371574,0.59834104429088,3.948018494455621,1.8282766733838094,28.00761687114113
2020-03-16,Georgia,10614835.886457847,1003.7209516881104,0,887.2137876370865,687.9227904572143,0.7819580927619454,5.108117560176623,2.3659367241485754,36.20473408797554
2020-03-17,Georgia,10614074.945613982,1297.8804648329303,0,1147.2762514097044,892.2090427988157,1.0195788210138803,6.608007583996313,3.0610405781632672,46.82088273824745
2020-03-18,Georgia,10613090.873408021,1678.2649213070983,0,1483.6065041273935,1156.4207670335954,1.3270478622046489,8.54750964300765,3.959842010689333,60.55339292500397
2020-03-19,Georgia,10611819.130035011,2169.806586606338,0,1918.2577354662094,1497.9058181528114,1.7245727146870635,11.053924311163387,5.121327742885148,78.2587697167336
2020-03-20,Georgia,10610195.143111194,2786.6976251887213,0,2478.596162209862,1939.4076933692952,2.2387012981691847,14.293951132536673,6.622755613601549,101.01757556590593
2020-03-21,Georgia,10608207.936743313,3496.3874312678317,0,3180.590915555093,2508.1676796736047,2.903278179242233,18.460075591321406,8.553876424991213,128.14234246245883
2020-03-22,Georgia,10605809.91111158,4307.538922066806,0,4033.093797023208,3233.9443707366627,3.760182056292278,23.745575590679127,11.006040953024595,159.17270718271996
2020-03-23,Georgia,10602963.633389246,5215.812303041194,0,5046.400593710009,4147.895342629304,4.859205000661575,30.332392403851333,14.066773976149648,194.39310880967253
2020-03-24,Georgia,10599643.918694578,6209.020954748699,0,6224.455210620396,5283.125754238417,6.2578295374907995,38.39878336102467,17.822772922686198,233.36208939454409
2020-03-25,Georgia,10595844.283573214,7262.966781116533,0,7562.780028380248,6674.484028989362,8.02430958909151,48.106611081344674,22.354667636376302,275.40860796276905
2020-03-26,Georgia,10591582.614174834,8343.544118258702,0,9047.846929092153,8351.490983783186,10.226307612309734,59.56023978814351,27.717246638339187,319.08203815466203
2020-03-27,Georgia,10586900.515273506,9407.953345837514,0,10655.740463622358,10339.108609085608,12.932848855896337,72.80885433997804,33.94060475945099,362.8753183778729
2020-03-28,Georgia,10581871.144110478,10399.104705272217,0,12346.770232442415,12660.878648557933,16.224986562267542,87.84612207026107,41.03119462228352,405.0569366248621
2020-03-29,Georgia,10576601.442228034,11252.275578669427,0,14067.209611160673,15328.404832936523,20.179709016191037,104.54676277050031,48.94127741880011,443.00375116834675
2020-03-30,Georgia,10571219.058117995,11905.314911770847,0,15752.497564246642,18341.005442852027,24.863415112221578,122.6844063031305,57.57614172574055,474.3807917253562
2020-03-31,Georgia,10565905.768665189,12292.255985312186,0,17307.042328758784,21679.01661749119,30.34122971654741,141.82746216300467,66.74771137606466,494.14139900888495
2020-04-01,Georgia,10560744.119352952,12388.452839797917,0,18688.931334586552,25326.77471672944,36.632851212758666,161.73851091807649,76.35039381027265,508.0943472494233
2020-04-02,Georgia,10555998.9976053,12129.839306266022,0,19764.41762764932,29218.42162364082,43.78206763160907,181.54786580817557,85.99390370871023,501.903755430638
2020-04-03,Georgia,10551577.81912836,11694.376736473918,0,20505.3853916238,33297.54312686215,51.77359928444674,200.685572887716,95.41644451098497,487.14934806803393
2020-04-04,Georgia,10547090.910737075,11465.059947183756,0,20981.71896649655,37501.80789770886,60.57615240338368,218.57828248448462,104.34801665156527,473.06481989362294
2020-04-05,Georgia,10542516.584662028,11386.957559713062,0,21311.385179581455,41790.33066824936,70.1422220652256,234.95190429423002,112.64780407227934,466.66563796689206
2020-04-06,Georgia,10537882.049467342,11380.116369293924,0,21572.714629971804,46137.691810672746,80.41293300980719,249.74706083509489,120.26772887837024,465.55705031249096
2020-04-07,Georgia,10533196.562244385,11417.238683875004,0,21792.304007365612,50535.230961455156,91.32892644231183,263.09078636789405,127.24439011387022,466.258039848888
2020-04-08,Georgia,10528466.28819239,11480.13664523616,0,21987.82589218249,54977.178860516666,102.83759547685617,275.1127551042722,133.62005909793754,468.164972017247
2020-04-09,Georgia,10523696.07645768,11554.510666134,0,22173.131796269376,59458.999993864,114.88651487335332,285.9513222230231,139.44324896020964,471.01983838329835
2020-04-10,Georgia,10518887.504363015,11635.706533732886,0,22352.62912658014,63979.22282783192,127.4334105018875,295.73951737544087,144.76422096710888,474.183334722286
2020-04-11,Georgia,10514041.781980503,11720.177942020271,0,22529.638106733946,68536.72444265893,140.43732858223666,304.60682445714076,149.63337504733215,477.5811689114945
2020-04-12,Georgia,10509159.466499373,11806.331061262088,0,22705.57225567895,73130.99824246693,153.86160229684572,312.67180306219217,154.0985358644741,481.0829841740047
2020-04-13,Georgia,10504240.836248886,11893.425649882425,0,22881.017294960766,77761.80357763199,167.6734895163669,320.04009133939377,158.20364778697535,484.63113192811375
2020-04-14,Georgia,10499286.088727823,11981.030086021425,0,23056.24260318783,82428.98671562957,181.8392493555349,326.81789717557,161.99472080973754,488.2027635890766
2020-04-15,Georgia,10494295.32336264,12068.978419412751,0,23231.30766502171,87132.47923364377,196.33713259495227,333.0725178369173,165.50166885263636,491.7810679753854
2020-04-16,Georgia,10489268.663959667,12157.07824914161,0,23406.301271070297,91872.1942947669,211.14745338640674,338.863242330217,168.75152963971883,495.36625279736677
2020-04-17,Georgia,10484206.09492103,12245.268439616797,0,23581.287731930395,96648.13458555989,226.26830761890585,344.19925873136384,171.74675551572165,498.95913443248276
2020-04-18,Georgia,10479108.214203583,12332.934230268305,0,23756.418526470807,101459.91102397273,241.6209485594598,349.304967407672,174.59609973966354,502.55370157767146
